"trait","category","genotype_rule","result","priority"
"Tasting sensitivity","Diet","rs1726866=CC","You have a normal genetic tasting sensitivity. Maintain a varied diet to ensure nutritional balance.","1"
"Freckles","Appearance","rs2153271=AA","You have a genetic profile suggesting no freckles, common in many populations. Protect your skin with sunscreen to maintain skin health.","1"
"Freckles","Appearance","rs2153271=AG","You have a genetic profile suggesting moderate freckles, which is typical for some individuals. Use sunscreen to protect freckled skin from UV damage.","1"
"Freckles","Appearance","rs2153271=GG","You have a genetic profile suggesting many freckles, common in some populations like those of Northern European descent. Apply sunscreen regularly to protect your skin.","1"
"Wrinkle formation","Appearance","rs1260326=AA","You have a genetic profile suggesting more wrinkle formation, which is not uncommon. Use moisturizers and sunscreen daily to support skin health.","1"
"Wrinkle formation","Appearance","rs1260326=AG","You have an average genetic profile for wrinkle formation, typical for many people. Maintain skin health with hydration and UV protection.","1"
"Wrinkle formation","Appearance","rs1260326=GG","You have a genetic profile suggesting fewer wrinkles. Continue to protect your skin with sunscreen and a healthy diet rich in antioxidants.","1"
"Skin aging","Appearance","rs1800795=GG","You have a genetic profile suggesting increased skin aging, which is relatively common. Use anti-aging skincare products and protect your skin from UV exposure.","1"
"Skin aging","Appearance","rs1800795=GC","You have an average genetic profile for skin aging, typical for many individuals. Maintain skin health with regular moisturizing and sunscreen use.","1"
"Skin aging","Appearance","rs1800795=CC","You have a genetic profile suggesting a lower risk of skin aging. Continue to support skin health with a nutrient-rich diet and UV protection.","1"
"Acne tendency","Appearance","rs6435328=AA","You have an elevated genetic risk of acne, which is common, especially in younger populations. Maintain a consistent skincare routine and avoid oily products to reduce acne risk.","1"
"Acne tendency","Appearance","rs6435328=AG","You have an average genetic risk of acne, typical for many people. Use gentle cleansers and maintain a healthy diet to support clear skin.","1"
"Acne tendency","Appearance","rs6435328=GG","You have a low genetic risk of acne. Continue to maintain a healthy skincare routine to keep your skin clear.","1"
"Earwax type","Appearance","rs17822931=TT","Based on your ABCC11 gene, you have dry earwax. This type is most common in East Asian populations. People with this variant typically produce less body odor, because it affects apocrine sweat glands as well. The dry earwax allele (T) is a relatively recent evolutionary change and may have emerged as an adaptation to colder climates.","1"
"Earwax type","Appearance","rs17822931=CT","Based on your ABCC11 gene, you have a mixed earwax type. This means one allele codes for wet earwax and the other for dry. You may have slightly reduced body odor compared to individuals with two wet-type alleles, but more than those with two dry-type alleles. This mixed form is relatively common in people of Central and South Asian ancestry.","1"
"Earwax type","Appearance","rs17822931=CC","Based on your ABCC11 gene, you have wet earwax. This is the most common type in people of African and European descent. It’s associated with stronger body odor due to increased activity of apocrine sweat glands. Scientists believe this was the ancestral form of the gene, with the dry-earwax version evolving later in East Asia.","1"
"Body odor","Appearance","rs1126809=TT","You have a genetic profile suggesting little body odor, common in some populations like East Asians. Maintain good hygiene to complement this trait.","1"
"Body odor","Appearance","rs1126809=CT/CC","You have a genetic profile suggesting normal body odor, typical for many individuals. Regular hygiene practices and deodorant use can keep you feeling fresh.","1"
"Tooth structure","Appearance","rs1258763=AA","You have a genetic profile suggesting normal tooth enamel, typical for most people. Maintain good oral hygiene with regular brushing and dental check-ups.","1"
"Tooth structure","Appearance","rs1258763=AG","You have a genetic profile suggesting sensitive tooth enamel, which is not uncommon. Use fluoride toothpaste and avoid acidic foods to protect your teeth.","1"
"Tooth structure","Appearance","rs1258763=GG","You have a genetic profile suggesting increased sensitivity of tooth enamel. This is less common but manageable. Consult a dentist for protective treatments like sealants.","1"
"Cavity risk","Health Risks","rs3797964=TT","You have a low genetic risk of cavities. Continue to maintain good oral hygiene with regular brushing and flossing to keep your teeth healthy.","1"
"Cavity risk","Health Risks","rs3797964=CT","You have a moderate genetic risk of cavities, typical for many individuals. Brush twice daily and limit sugary foods to reduce cavity risk.","1"
"Cavity risk","Health Risks","rs3797964=CC","You have an elevated genetic risk of cavities, which is relatively common. This does not guarantee cavities; maintain rigorous oral hygiene and regular dental visits to minimize risk.","1"
"Pain sensitivity","Health","rs1799971=AA","You have a normal genetic pain sensitivity, typical for most people. Manage pain with appropriate medical guidance and a healthy lifestyle.","1"
"Pain sensitivity","Health","rs1799971=AG","You have a slightly reduced genetic pain sensitivity, which is not uncommon. Work with your doctor to find effective pain management strategies.","1"
"Pain sensitivity","Health","rs1799971=GG","You have a reduced genetic pain sensitivity due to opioid receptor variation. This is less common. Consult a doctor for tailored pain relief options.","1"
"Memory performance","Cognitive & Emotional Traits","rs17070145=CC","You have an average genetic memory performance, typical for many individuals. Engage in brain exercises like puzzles to maintain cognitive health.","1"
"Memory performance","Cognitive & Emotional Traits","rs17070145=CT","You have a genetic profile suggesting better episodic memory, which can aid learning. Continue to challenge your brain with reading and memory games.","1"
"Memory performance","Cognitive & Emotional Traits","rs17070145=TT","You have a genetic profile suggesting improved memory performance. This is less common but beneficial. Maintain cognitive health with mental stimulation and a healthy diet.","1"
"Impulsivity","Cognitive & Emotional Traits","rs1800497=TT","You have a genetic profile suggesting increased impulsivity, which is not uncommon. Practice mindfulness and structured decision-making to manage impulses.","1"
"Impulsivity","Cognitive & Emotional Traits","rs1800497=CT","You have an average genetic profile for impulsivity, typical for many people. Maintain balanced decision-making with planning and reflection.","1"
"Impulsivity","Cognitive & Emotional Traits","rs1800497=CC","You have a genetic profile suggesting lower impulsivity. Continue to make thoughtful decisions to support your goals.","1"
"ADHD risk","Cognitive & Emotional Traits","rs6265=GG","You have an elevated genetic risk of ADHD, which is relatively common. This does not mean you have ADHD; consult a doctor for evaluation if you have symptoms. Behavioral strategies and therapy can help manage focus.","1"
"ADHD risk","Cognitive & Emotional Traits","rs6265=AG","You have an average genetic risk of ADHD, typical for many individuals. Maintain a structured routine to support focus and productivity.","1"
"ADHD risk","Cognitive & Emotional Traits","rs6265=AA","You have a low genetic risk of ADHD. Continue to support cognitive health with a balanced lifestyle and mental stimulation.","1"
"Depression risk","Cognitive & Emotional Traits","rs6265=CC","You have an elevated genetic risk of depression, which is relatively common in some populations. This does not guarantee depression. Engage in regular exercise, therapy, and social activities to support mental health. Consult a doctor if needed.","1"
"Depression risk","Cognitive & Emotional Traits","rs6265=CT","You have an average genetic risk of depression, typical for many people. Maintain mental health with stress management and a supportive social network.","1"
"Depression risk","Cognitive & Emotional Traits","rs6265=TT","You have a low genetic risk of depression. Continue to support mental well-being with a healthy lifestyle and social connections.","1"
"Anxiety sensitivity","Cognitive & Emotional Traits","rs4076452=GG","You have an increased genetic anxiety sensitivity, which is not uncommon. Practice relaxation techniques like meditation and consult a doctor if anxiety impacts your life.","1"
"Anxiety sensitivity","Cognitive & Emotional Traits","rs4076452=GT","You have an average genetic anxiety sensitivity, typical for many individuals. Maintain stress management practices to support mental health.","1"
"Anxiety sensitivity","Cognitive & Emotional Traits","rs4076452=TT","You have a lower genetic anxiety sensitivity. Continue to support mental health with a balanced lifestyle and stress reduction techniques.","1"
"Stress response","Cognitive & Emotional Traits","rs1330780=TT","You have an increased genetic stress response, which is relatively common. Practice stress management techniques like yoga and ensure adequate sleep to mitigate stress.","1"
"Stress response","Cognitive & Emotional Traits","rs1330780=CT","You have an average genetic stress response, typical for many people. Maintain a balanced lifestyle with relaxation practices to manage stress.","1"
"Stress response","Cognitive & Emotional Traits","rs1330780=CC","You have a lower genetic stress response. Continue to support mental health with regular relaxation and exercise.","1"
"Oxytocin receptor","Health","rs53576=GG","You have a genetic profile suggesting empathic and social behavior, which is common in some populations. Maintain strong social connections to support emotional well-being.","1"
"Oxytocin receptor","Health","rs53576=AG","You have an average genetic oxytocin response, typical for many individuals. Foster social relationships to enhance emotional health.","1"
"Oxytocin receptor","Health","rs53576=AA","You have a genetic profile suggesting more distant behavior. This is not uncommon. Engage in social activities to build stronger connections if desired.","1"
"Addiction sensitivity","Health","rs16969968=AA","You have an elevated genetic risk of addiction, which is relatively common. This does not guarantee addiction. Avoid substance overuse and seek support if needed.","1"
"Addiction sensitivity","Health","rs16969968=AG","You have an average genetic risk of addiction, typical for many people. Maintain a healthy lifestyle and avoid excessive substance use.","1"
"Addiction sensitivity","Health","rs16969968=GG","You have a lower genetic risk of addiction. Continue to make healthy choices to support overall well-being.","1"
"Alcohol consumption behavior","Diet","rs1229984=GG","You have a normal genetic profile for alcohol consumption, typical for most people. Drink in moderation and stay hydrated to support health.","1"
"Alcohol consumption behavior","Diet","rs1229984=AG","You have a genetic profile suggesting reduced alcohol consumption, common in some populations. Continue to drink responsibly and prioritize hydration.","1"
"Alcohol consumption behavior","Diet","rs1229984=AA","You have a genetic profile suggesting strongly reduced alcohol consumption. This is less common but beneficial for health. Avoid excessive alcohol to maintain well-being.","1"
"Nicotine dependence","Health","rs1051730=TT","You have a strongly elevated genetic risk of nicotine dependence, which is less common. This does not mean you will become dependent. Avoid smoking and seek support if you struggle with nicotine use.","1"
"Nicotine dependence","Health","rs1051730=CT","You have an elevated genetic risk of nicotine dependence, which is relatively common. Avoid smoking and consult a doctor for cessation support if needed.","1"
"Nicotine dependence","Health","rs1051730=CC","You have a lower genetic risk of nicotine dependence. Continue to avoid smoking to maintain lung health.","1"
"Bitterness sensitivity (PROP)","Diet","rs713598=CC","You have a genetic sensitivity to bitter taste (PROP), which is common in some populations. This may affect food preferences. Explore a variety of foods to maintain a balanced diet.","1"
"Bitterness sensitivity (PROP)","Diet","rs713598=CG","You have an average genetic sensitivity to bitter taste (PROP), typical for many people. Continue to enjoy a varied diet for nutritional balance.","1"
"Bitterness sensitivity (PROP)","Diet","rs713598=GG","You are genetically insensitive to bitter taste (PROP), which is less common. This may make bitter foods more palatable. Maintain a balanced diet for overall health.","1"
"Cilantro aversion","Health","rs72921001=AA","You have a genetic profile suggesting possible aversion to cilantro, which is relatively common. This does not guarantee dislike; try different preparations to see what works for you.","1"
"Cilantro aversion","Health","rs72921001=AG","You have a genetic profile suggesting mild cilantro aversion, typical for some individuals. Experiment with cilantro in small amounts to find tolerable dishes.","1"
"Cilantro aversion","Health","rs72921001=GG","You have a neutral genetic profile for cilantro taste, common in many populations. Enjoy cilantro as part of a varied diet.","1"
"Meat aversion","Diet","rs671=GG","You have a normal genetic profile for meat consumption, typical for most people. Include lean meats for protein or explore plant-based options for variety.","1"
"Meat aversion","Diet","rs671=GA","You have a genetic profile suggesting reduced meat intake, common in some populations. Consider plant-based proteins to maintain nutritional balance.","1"
"Meat aversion","Diet","rs671=AA","You have a genetic profile suggesting strongly reduced meat intake, which is less common. Explore plant-based diets and ensure adequate protein intake with beans or tofu.","1"
"Sweet preference","Diet","rs838913=AA","You have an increased genetic preference for sweets, which is relatively common. Monitor sugar intake and opt for natural sweeteners like fruit to maintain health.","1"
"Sweet preference","Diet","rs838913=AG","You have an average genetic preference for sweets, typical for many people. Enjoy sweets in moderation as part of a balanced diet.","1"
"Sweet preference","Diet","rs838913=GG","You have a lower genetic preference for sweets. Continue to maintain a balanced diet with minimal added sugars.","1"
"Alcohol flush reaction","Health","rs671=GG","You have no genetic alcohol flush reaction, typical for most people. Drink in moderation and stay hydrated to support health.","1"
"Alcohol flush reaction","Health","rs671=GA","You have a mild genetic alcohol flush reaction, common in some populations like East Asians. Limit alcohol intake to avoid discomfort and consult a doctor if needed.","1"
"Alcohol flush reaction","Health","rs671=AA","You have a strong genetic alcohol flush reaction, which is less common. Avoid excessive alcohol to prevent discomfort and maintain overall health.","1"
"Caffeine sensitivity","Diet","rs762551=AA","You are a fast genetic caffeine metabolizer, common in some populations. You may tolerate caffeine well, but limit intake to avoid sleep disruption.","1"
"Caffeine sensitivity","Diet","rs762551=AC","You are an average genetic caffeine metabolizer, typical for many people. Enjoy caffeine in moderation and avoid it close to bedtime.","1"
"Caffeine sensitivity","Diet","rs762551=CC","You are a slow genetic caffeine metabolizer, which is less common. Limit caffeine to avoid side effects like jitteriness and consult a doctor if needed.","1"
"Gluten intolerance (celiac disease)","Diet","rs2187668=TT","You have an elevated genetic risk of gluten intolerance, more common in certain populations. This does not confirm celiac disease; consult a doctor for testing if you have symptoms. A gluten-free diet can help if diagnosed.","1"
"Gluten intolerance (celiac disease)","Diet","rs2187668=CT","You have an average genetic risk of gluten intolerance, typical for many individuals. Monitor for digestive symptoms and consult a doctor if needed.","1"
"Gluten intolerance (celiac disease)","Diet","rs2187668=CC","You have a low genetic risk of gluten intolerance. Continue to maintain a balanced diet and monitor for any digestive issues.","1"
"Fructose intolerance","Health","rs2302387=GG","You have an elevated genetic risk of fructose intolerance, which is rare. This does not confirm the condition. Avoid high-fructose foods and consult a doctor if you experience digestive issues.","1"
"Fructose intolerance","Health","rs2302387=AG","You are a carrier of a genetic variant for fructose intolerance, which is uncommon but typically asymptomatic. Monitor for digestive symptoms and consult a doctor if needed.","1"
"Fructose intolerance","Health","rs2302387=AA","You have an elevated genetic risk of fructose intolerance, which is rare. This does not guarantee the condition. Limit high-fructose foods and consult a doctor for dietary advice.","1"
"Snacking behavior","Diet","rs713598=GG","You have an increased genetic tendency for snacking, which is relatively common. Choose healthy snacks like nuts or fruit to maintain nutritional balance.","1"
"Snacking behavior","Diet","rs713598=AT","You have an average genetic tendency for snacking, typical for many people. Monitor portion sizes and opt for nutrient-dense snacks.","1"
"Snacking behavior","Diet","rs713598=TT","You have a low genetic tendency for snacking. Continue to maintain a balanced diet with regular meals to support health.","1"
"Tendency to overweight","Diet","rs9939609=AA","You have an elevated genetic risk of being overweight, which is common in some populations. This does not guarantee weight gain. Maintain a balanced diet and regular exercise to manage weight.","1"
"Tendency to overweight","Diet","rs9939609=AT","You have an average genetic risk of being overweight, typical for many individuals. Stay active and maintain a balanced diet to support healthy weight.","1"
"Tendency to overweight","Diet","rs9939609=TT","You have a low genetic risk of being overweight. Continue to support health with regular exercise and a nutritious diet.","1"
"Carb/fat metabolism","Diet","rs1801282=GG","You have a genetic profile suggesting slow glucose breakdown, which is not uncommon. Opt for complex carbs and monitor portion sizes to support metabolism.","1"
"Carb/fat metabolism","Diet","rs1801282=AG","You have an average genetic profile for carb and fat metabolism, typical for many people. Maintain a balanced diet with healthy fats and complex carbs.","1"
"Carb/fat metabolism","Diet","rs1801282=CC","You have a normal genetic profile for carb and fat metabolism. Continue to support metabolism with a varied diet and regular exercise.","1"
"Appetite control","Diet","rs9939609=AA","You have a genetic profile suggesting less appetite control, which is relatively common. Practice mindful eating and include fiber-rich foods to enhance satiety.","1"
"Appetite control","Diet","rs9939609=AT","You have an average genetic profile for appetite control, typical for many people. Maintain balanced meals to support healthy eating habits.","1"
"Appetite control","Diet","rs9939609=TT","You have a genetic profile suggesting better satiety. Continue to eat balanced meals to maintain healthy appetite regulation.","1"
"Leptin resistance","Health","rs1137101=GG","You have a genetic profile suggesting leptin resistance, which is less common. This may affect weight regulation. Maintain a healthy diet and exercise routine, and consult a doctor for weight management advice.","1"
"Leptin resistance","Health","rs1137101=AG","You have a moderate genetic leptin sensitivity, typical for many individuals. Support weight management with a balanced diet and regular physical activity.","1"
"Leptin resistance","Health","rs1137101=AA","You have a genetic profile suggesting sensitivity to leptin, aiding weight regulation. Continue to maintain a healthy lifestyle to support metabolic health.","1"
"BMI sensitivity","Diet","rs9939609=GG","You have an elevated genetic risk of higher BMI, which is common in some populations. This does not guarantee weight gain. Stay active and eat a balanced diet to manage BMI.","1"
"BMI sensitivity","Diet","rs9939609=CT","You have a moderate genetic risk of higher BMI, typical for many people. Maintain a healthy lifestyle with regular exercise to support weight management.","1"
"BMI sensitivity","Diet","rs9939609=TT","You have a low genetic risk of higher BMI. Continue to support health with a balanced diet and physical activity.","1"
"Type 2 diabetes risk","Health Risks","rs7903146=GG","You have an elevated genetic risk of type 2 diabetes, which is relatively common. This does not guarantee diabetes. Maintain a healthy weight, exercise regularly, and limit sugary foods to reduce risk. Consult a doctor for monitoring.","1"
"Type 2 diabetes risk","Health Risks","rs7903146=CT","You have an average genetic risk of type 2 diabetes, typical for many individuals. Support health with a balanced diet and regular physical activity.","1"
"Type 2 diabetes risk","Health Risks","rs7903146=TT","You have a low genetic risk of type 2 diabetes. Continue to maintain a healthy lifestyle to minimize risk.","1"
"Cholesterol level","Diet","rs688=GG","You have an elevated genetic cholesterol level, which is relatively common. This does not guarantee high cholesterol. Eat a diet low in saturated fats and exercise regularly to manage cholesterol. Consult a doctor for monitoring.","1"
"Cholesterol level","Diet","rs688=AG","You have an average genetic cholesterol level, typical for many people. Maintain a heart-healthy diet and regular exercise to support cholesterol levels.","1"
"Cholesterol level","Diet","rs688=AA","You have a low genetic cholesterol level. Continue to support heart health with a balanced diet and physical activity.","1"
"HDL/LDL ratio","Health","rs688=GG","You have a favorable genetic HDL/LDL ratio, which supports heart health. Continue to maintain a healthy lifestyle with exercise and a balanced diet.","1"
"HDL/LDL ratio","Health","rs688=AG","You have an average genetic HDL/LDL ratio, typical for many individuals. Support heart health with a diet low in trans fats and regular exercise.","1"
"HDL/LDL ratio","Health","rs688=AA","You have an unfavorable genetic HDL/LDL ratio, which is less common. This does not guarantee heart issues. Focus on a heart-healthy diet and consult a doctor for cholesterol monitoring.","1"
"Jetlag sensitivity","Sleep","rs1762437=TT","You have a genetic sensitivity to jetlag, which is not uncommon. Plan travel to allow recovery time and adjust sleep schedules gradually to ease jetlag.","1"
"Jetlag sensitivity","Sleep","rs1762437=CT","You have a moderate genetic sensitivity to jetlag, typical for many people. Use light exposure and consistent sleep schedules to manage jetlag during travel.","1"
"Jetlag sensitivity","Sleep","rs1762437=CC","You have a genetic resistance to jetlag, which is less common. Continue to maintain good sleep hygiene during travel to optimize recovery.","1"
"Sleep paralysis","Sleep","rs2304725=AA","You have a high genetic risk of sleep paralysis, which is relatively rare. This does not guarantee episodes. Maintain a consistent sleep schedule and manage stress to reduce risk. Consult a doctor if frequent.","1"
"Sleep paralysis","Sleep","rs2304725=AG","You have a moderate genetic risk of sleep paralysis, typical for some individuals. Practice good sleep hygiene to minimize occurrences.","1"
"Sleep paralysis","Sleep","rs2304725=GG","You have a low genetic risk of sleep paralysis. Continue to maintain a healthy sleep routine to support restful sleep.","1"
"Longevity risk","Health","rs2802292=GG","You have a genetic profile suggesting increased longevity, which is beneficial. Maintain a healthy lifestyle with regular exercise and a balanced diet to support long-term health.","1"
"Longevity risk","Health","rs2802292=GT","You have an average genetic profile for longevity, typical for many people. Continue to prioritize a healthy lifestyle to support long-term well-being.","1"
"Longevity risk","Health","rs2802292=TT","You have a genetic profile suggesting reduced longevity, which is less common. This does not determine lifespan. Focus on a healthy diet, exercise, and regular check-ups to maximize health.","1"
"Height variation","Appearance","rs1042725=CC","You have a genetic profile suggesting taller stature, common in some populations. Maintain good posture and a balanced diet to support overall health.","1"
"Height variation","Appearance","rs1042725=CT","You have an average genetic profile for height, typical for many individuals. Continue to support health with a balanced lifestyle.","1"
"Height variation","Appearance","rs1042725=TT","You have a genetic profile suggesting shorter stature, which is common in some populations. Focus on overall health with proper nutrition and exercise.","1"
"Thyroid function","Health","rs2235544=AA","You have a normal genetic profile for thyroid function, typical for most people. Maintain regular check-ups to monitor thyroid health.","1"
"Thyroid function","Health","rs2235544=AG","You have a mild genetic risk of hypothyroidism, which is relatively common. Monitor for symptoms like fatigue and consult a doctor for thyroid testing if needed.","1"
"Thyroid function","Health","rs2235544=GG","You have a higher genetic risk of hypothyroidism, which is less common. This does not confirm the condition. Consult a doctor for thyroid monitoring and maintain a diet with adequate iodine.","1"
"Asthma susceptibility","Health","rs7216389=TT","You have an elevated genetic risk of asthma, which is relatively common. This does not guarantee asthma. Avoid triggers like allergens and maintain a healthy respiratory system with regular exercise.","1"
"Asthma susceptibility","Health","rs7216389=CT","You have an average genetic risk of asthma, typical for many individuals. Monitor respiratory health and avoid known triggers to maintain well-being.","1"
"Asthma susceptibility","Health","rs7216389=CC","You have a lower genetic risk of asthma. Continue to support respiratory health with a clean environment and regular physical activity.","1"
"Allergic rhinitis","Health","rs7775228=TT","You have an increased genetic risk of allergic rhinitis, which is common in some populations. This does not guarantee allergies. Minimize exposure to allergens and consult a doctor for symptom management.","1"
"Allergic rhinitis","Health","rs7775228=CT","You have an average genetic risk of allergic rhinitis, typical for many people. Maintain a clean environment to reduce allergen exposure.","1"
"Allergic rhinitis","Health","rs7775228=CC","You have a lower genetic risk of allergic rhinitis. Continue to minimize allergen exposure to support respiratory health.","1"
"Insulin sensitivity","Health","rs780094=CC","You have a genetic profile suggesting better insulin sensitivity, which supports metabolic health. Maintain a balanced diet and regular exercise to optimize this trait.","1"
"Insulin sensitivity","Health","rs780094=CT","You have an average genetic profile for insulin sensitivity, typical for many individuals. Support metabolic health with a balanced diet and physical activity.","1"
"Insulin sensitivity","Health","rs780094=TT","You have a genetic profile suggesting reduced insulin sensitivity, which is not uncommon. This does not guarantee diabetes. Maintain a healthy weight and low-sugar diet to support metabolic health.","1"
"Bone density","Health","rs3736228=CC","You have a normal genetic profile for bone density, typical for most people. Maintain bone health with calcium-rich foods and weight-bearing exercises.","1"
"Bone density","Health","rs3736228=CT","You have a moderate genetic risk of osteoporosis, which is relatively common. Include calcium and vitamin D in your diet and engage in weight-bearing exercises to support bone health.","1"
"Bone density","Health","rs3736228=TT","You have a higher genetic risk of osteoporosis, which is less common. This does not guarantee osteoporosis. Consult a doctor for bone density testing and prioritize calcium-rich foods and exercise.","1"
"Melanoma risk","Health Risks","rs910873=AA","You have an elevated genetic risk of melanoma, which is more common in fair-skinned populations. This does not guarantee melanoma. Use sunscreen, avoid excessive sun exposure, and get regular skin checks.","1"
"Melanoma risk","Health Risks","rs910873=AG","You have an average genetic risk of melanoma, typical for many individuals. Protect your skin with sunscreen and regular dermatologist visits.","1"
"Melanoma risk","Health Risks","rs910873=GG","You have a lower genetic risk of melanoma. Continue to protect your skin with sunscreen and regular skin checks.","1"
"Chronotype (sleep timing)","Sleep","rs516134=AA","You have a genetic early chronotype, preferring earlier sleep and wake times. This is common in some populations. Align your schedule with this rhythm for better rest.","1"
"Chronotype (sleep timing)","Sleep","rs516134=AG","You have an average genetic chronotype, typical for many people. Maintain a consistent sleep schedule to optimize rest.","1"
"Chronotype (sleep timing)","Sleep","rs516134=GG","You have a genetic late chronotype, preferring later sleep and wake times. This is common in some populations. Ensure adequate sleep by avoiding late-night overstimulation.","1"
"Vitamin C metabolism","Diet","rs33972313=GG","You have a normal genetic profile for vitamin C processing, typical for most people. Include vitamin C-rich foods like citrus fruits in your diet.","1"
"Vitamin C metabolism","Diet","rs33972313=GA","You have a reduced efficiency in genetic vitamin C metabolism, which is not uncommon. Ensure adequate vitamin C intake through diet or supplements as advised by a doctor.","1"
"Vitamin C metabolism","Diet","rs33972313=AA","You have a poor genetic vitamin C metabolism, which is rare. This does not guarantee deficiency. Consult a doctor for dietary advice and include vitamin C-rich foods.","1"
"Photic sneeze reflex","Health","rs1042729=CC","You have an increased genetic likelihood of sneezing in bright light, which is relatively common. This is harmless but may be noticeable. Wear sunglasses in bright light if it bothers you.","1"
"Photic sneeze reflex","Health","rs1042729=CT","You have an occasional genetic likelihood of sneezing in bright light, typical for some individuals. This trait is harmless and manageable with sunglasses if needed.","1"
"Photic sneeze reflex","Health","rs1042729=TT","You have no genetic photic sneeze reflex, common in many populations. No specific precautions are needed for this trait.","1"
"Sweaty feet tendency","Appearance","rs1800498=GG","You have an increased genetic tendency for foot odor, which is not uncommon. Maintain good foot hygiene with regular washing and breathable shoes.","1"
"Sweaty feet tendency","Appearance","rs1800498=AG","You have a moderate genetic tendency for foot odor, typical for many people. Use foot powder and breathable footwear to stay comfortable.","1"
"Sweaty feet tendency","Appearance","rs1800498=AA","You have a low genetic tendency for foot odor. Continue to maintain good foot hygiene to keep feet fresh.","1"
"Mosquito bite sensitivity","Health","rs9275596=TT","You are genetically highly attractive to mosquitoes, which is not uncommon. Use insect repellent and wear protective clothing to reduce bites.","1"
"Mosquito bite sensitivity","Health","rs9275596=CT","You have an average genetic mosquito bite sensitivity, typical for many people. Use repellent as needed to minimize bites.","1"
"Mosquito bite sensitivity","Health","rs9275596=CC","You are genetically less attractive to mosquitoes. Continue to use basic precautions like repellent in high-mosquito areas.","1"
"Asparagus urine odor","Health","rs4481887=GG","You have a genetic profile for strong odor after eating asparagus, which is common. This is harmless and varies by individual perception. Stay hydrated to minimize odor.","1"
"Asparagus urine odor","Health","rs4481887=AG","You have a genetic profile for mild odor after eating asparagus, typical for some individuals. This is harmless and may not be noticeable.","1"
"Asparagus urine odor","Health","rs4481887=AA","You have no genetic odor after eating asparagus, common in some populations. No specific precautions are needed for this trait.","1"
"Earlobe shape","Appearance","rs1704196=AA","You have a genetic profile for attached earlobes, common in some populations. This is a harmless trait with no health impact.","1"
"Earlobe shape","Appearance","rs1704196=AG","You have a genetic profile for partially attached earlobes, typical for many individuals. This is a harmless cosmetic trait.","1"
"Earlobe shape","Appearance","rs1704196=GG","You have a genetic profile for free earlobes, common in some populations. This is a harmless trait with no health implications.","1"
"Sensitivity to bitter taste (cauliflower)","Diet","rs7656093=TT","You have a strong genetic aversion to bitter taste (cauliflower), which is not uncommon. Try different cooking methods to make bitter vegetables more palatable.","1"
"Sensitivity to bitter taste (cauliflower)","Diet","rs7656093=CT","You have a mild genetic aversion to bitter taste (cauliflower), typical for some people. Experiment with seasonings to enjoy a variety of vegetables.","1"
"Sensitivity to bitter taste (cauliflower)","Diet","rs7656093=CC","You have no genetic aversion to bitter taste (cauliflower), common in many populations. Enjoy a varied diet with bitter vegetables for nutritional benefits.","1"
"Widows peak hairline","Appearance","rs7349333=CC","You have a genetic profile for a prominent widow’s peak, common in some populations. This is a harmless cosmetic trait.","1"
"Widows peak hairline","Appearance","rs7349333=CT","You have a genetic profile for a slight widow’s peak, typical for many individuals. This is a harmless cosmetic trait.","1"
"Widows peak hairline","Appearance","rs7349333=TT","You have a genetic profile for a straight hairline, common in some populations. This is a harmless cosmetic trait.","1"
"Sneezing at full stomach","Health","rs11811277=AA","You have an increased genetic likelihood of sneezing after eating, which is rare but harmless. Eat smaller meals to minimize this reflex if bothersome.","1"
"Sneezing at full stomach","Health","rs11811277=AG","You have an occasional genetic likelihood of sneezing after eating, typical for some individuals. This is harmless and may not be noticeable.","1"
"Sneezing at full stomach","Health","rs11811277=GG","You have no genetic likelihood of sneezing after eating, common in many populations. No specific precautions are needed.","1"
"Ability to smell rain","Health","rs4930386=GG","You have a heightened genetic ability to smell rain, which is a unique but harmless trait. Enjoy this sensory advantage in nature.","1"
"Ability to smell rain","Health","rs4930386=AG","You have an average genetic ability to smell rain, typical for many people. No specific actions are needed for this trait.","1"
"Ability to smell rain","Health","rs4930386=AA","You have a poor genetic ability to smell rain, which is not uncommon. This has no health impact and is a minor sensory trait.","1"
"Ticklishness","Health","rs10886430=TT","You are genetically highly ticklish, which is common in some populations. This is a harmless trait with no health implications.","1"
"Ticklishness","Health","rs10886430=CT","You are genetically moderately ticklish, typical for many individuals. This is a harmless sensory trait.","1"
"Ticklishness","Health","rs10886430=CC","You are genetically less ticklish, which is less common. This is a harmless trait with no health impact.","1"
"Fat storage tendency","Diet","rs1801282=GG","You have a genetic preference for subcutaneous fat storage (e.g., hips), which is not uncommon. Maintain a healthy weight with a balanced diet and exercise.","1"
"Fat storage tendency","Diet","rs1801282=AG","You have a genetic profile for mixed fat distribution, typical for many people. Support healthy weight management with regular physical activity.","1"
"Fat storage tendency","Diet","rs1801282=AA","You have a genetic preference for visceral fat storage (e.g., abdomen), which is less common. Focus on a healthy diet and exercise to manage fat distribution.","1"
"Red hair and green eyes combination","Appearance","rs12913832=AG AND rs1800407=TC AND rs1805007=TT","You have a rare genetic profile suggesting both red hair and green eyes, found in less than 0.2% of the global population. This combination is linked to specific MC1R and HERC2 gene variants. Protect your skin and scalp with sunscreen and UV-blocking hats, and use sunglasses to shield your eyes from bright light.","1"
